2017-04-21 09:56:48.086 INFO  NServiceBus.LicenseManager Trial for the Particular Service Platform has been active since 4/20/2017.
2017-04-21 09:56:49.227 INFO  NServiceBus.PerformanceMonitorUsersInstaller Skipped adding user 'ASIA-PACIFIC\Sebastian_W' to group 'Performance Monitor Users' because the user is already in group.
2017-04-21 09:56:49.295 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-04-21 09:56:49.306 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-04-21 09:56:49.309 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-04-21 09:56:49.409 INFO  ClientUI.Program Press 'P' to place an order, or 'Q' to quit.
2017-04-21 09:56:51.858 INFO  ClientUI.Program Sending PlaceOrder command, OrderId = 622d0650-8321-4aa3-a1ef-5dbd33bd607c
2017-04-21 09:56:52.033 INFO  ClientUI.Program Press 'P' to place an order, or 'Q' to quit.
2017-04-21 10:29:09.520 INFO  DefaultFactory Logging to 'C:\Sebastian\Project\intro-to-nservicebus-3-multiple-endpoints\ClientUI\bin\Debug\' with level Info
2017-04-21 10:29:10.649 INFO  NServiceBus.LicenseManager Trial for the Particular Service Platform has been active since 4/20/2017.
